first_author,title,journal,pub_date,doi,pmid,pmcid,cites,pub_type,source,added,scopus_eid
Sequeira M,A comparative analysis of data platforms for rare diseases,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2021-06-01,10.1109/CBMS52027.2021.00041,NA,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85110827717
Westergaard D,A comprehensive and quantitative comparison of text-mining in 15 million full-text articles versus their corresponding abstracts.,PLoS Comput Biol,2018-02-15,10.1371/journal.pcbi.1005962,29447159,PMC5831415,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
ElShal S,A comprehensive comparison of two MEDLINE annotators for disease and gene linkage: Sometimes less is more,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2016-01-01,10.1007/978-3-319-31744-1_66,NA,NA,2015_NAR_Kibbe,Book Series|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-84973882632
Girisha MN,"A comprehensive review of global alignment of multiple biological networks: background, applications and open issues",Network Modeling Analysis in Health Informatics and Bioinformatics,2022-12-01,10.1007/s13721-022-00353-7,NA,NA,2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:48:19Z,2-s2.0-85124008415
Lei X,A comprehensive survey on computational methods of non-coding RNA and disease association prediction,Briefings in Bioinformatics,2021-07-01,10.1093/bib/bbaa350,33341893,NA,2019_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:47:41Z,2-s2.0-85112130508
Oliva J,A computational system based on ontologies to automate the mapping process of medical reports into structured databases,Expert Systems with Applications,2019-01-01,10.1016/j.eswa.2018.08.004,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85051383431
Geifman N,A consideration of publication-derived immune-related associations in Coronavirus and related lung damaging diseases.,J Transl Med,2020-08-03,10.1186/s12967-020-02472-z,32746922,PMC7397454,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Lu X,A constrained probabilistic matrix decomposition method for predicting miRNA-disease associations,Current Bioinformatics,2021-01-01,10.2174/1574893615999200801014239,NA,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85115861564
Pérez-Pérez M,A deep learning relation extraction approach to support a biomedical semi-automatic curation task: The case of the gluten bibliome,Expert Systems with Applications,2022-06-01,10.1016/j.eswa.2022.116616,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85124098036
Assawamakin A,A development of knowledge representation for Thalassemia prevention and control program,NLP-KE 2011 - Proceedings of the 7th International Conference on Natural Language Processing and Knowledge Engineering,2011-12-01,10.1109/NLPKE.2011.6138192,NA,NA,2009_BIX_Du,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:50Z,2-s2.0-84857261014
Carson MB,A disease similarity matrix based on the uniqueness of shared genes.,BMC Med Genomics,2017-05-24,10.1186/s12920-017-0265-2,28589854,PMC5461528,2012_NAR_Schriml|2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Fang H,A disease-drug-phenotype matrix inferred by walking on a functional domain network,Molecular BioSystems,2013-01-01,10.1039/c3mb25495j,23462907,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-84878740266
Mohamed H,A distributed approach for parsing large-scale owl datasets,"IC3K 2020 - Proceedings of the 12th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",2020-01-01,NA,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85107268131
Xu W,A framework for annotating human genome in disease context.,PLoS One,2012-01-01,10.1371/journal.pone.0049686,23251346,PMC3519466,2012_NAR_Schriml|2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Elkader S,A framework for chronic kidney disease diagnosis based on case based reasoning,International Journal of Advanced Computer Research,2018-03-01,10.19101/IJACR.2018.834003,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85045833228
Yang H,A framework for exploring associations between biomedical terms in PubMed.,Oncotarget,2017-10-05,10.18632/oncotarget.21532,29262548,PMC5732714,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Peng W,A Framework for Integrating Multiple Biological Networks to Predict MicroRNA-Disease Associations,IEEE Transactions on Nanobioscience,2017-03-01,10.1109/TNB.2016.2633276,27913356,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85018883951
Pérez-Pérez M,A framework to extract biomedical knowledge from gluten-related tweets: The case of dietary concerns in digital era,Artificial Intelligence in Medicine,2021-08-01,10.1016/j.artmed.2021.102131,34412847,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85114659514
Knoedler JR,A functional cellular framework for sex and estrous cycle-dependent gene expression and behavior,Cell,2022-02-17,10.1016/j.cell.2021.12.031,35065713,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85124518826
Di Martino B,A fuzzy prolog and ontology driven framework for medical diagnosis using IoT devices,Advances in Intelligent Systems and Computing,2018-01-01,10.1007/978-3-319-61566-0_83,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85026298815
Cheng Q,A Gene Family-led Meta-Analysis of Drug-Target Interactions,"Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",2019-01-21,10.1109/BIBM.2018.8621087,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85062523153
Fang H,A genetics-led approach defines the drug target landscape of 30 immune-related traits.,Nat Genet,2019-07-01,10.1038/s41588-019-0456-1,31253980,PMC7124888,2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Shameer K,A genome- and phenome-wide association study to identify genetic variants influencing platelet count and volume and their pleiotropic effects.,Hum Genet,2014-01-01,10.1007/s00439-013-1355-7,24026423,PMC3880605,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Haaland ØA,A Genome-Wide Search for Gene-Environment Effects in Isolated Cleft Lip with or without Cleft Palate Triads Points to an Interaction between Maternal Periconceptional Vitamin Use and Variants in <i>ESRRG</i>.,Front Genet,2018-02-26,10.3389/fgene.2018.00060,29535761,PMC5834486,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Hanafi H,A graph based model for multiple biological data sources integration,ACM International Conference Proceeding Series,2018-10-10,10.1145/3286606.3286826,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85059907150
Wagner AH,A harmonized meta-knowledgebase of clinical interpretations of somatic genomic variants in cancer.,Nat Genet,2020-04-01,10.1038/s41588-020-0603-8,32246132,PMC7127986,2015_NAR_Kibbe,Journal Article|Meta-Analysis,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Marzi SJ,A histone acetylome-wide association study of Alzheimer’s disease identifies disease-associated H3K27ac differences in the entorhinal cortex,Nature Neuroscience,2018-11-01,10.1038/s41593-018-0253-7,30349106,NA,2009_BMCG_Osborne,Journal|Article,scopus,2022-03-17T18:48:46Z,2-s2.0-85055464133
Sethi S,A holistic view of mouse enhancer architectures reveals analogous pleiotropic effects and correlation with human disease.,BMC Genomics,2020-11-02,10.1186/s12864-020-07109-5,33138777,PMC7607678,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Duan Y,A knowledge graph for eldercare: Constructing a domain entity graph with guidelines,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018-01-01,10.1007/978-3-319-92037-5_3,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85050612671
Yahi A,"A knowledge-based, automated method for phenotyping in the EHR using only clinical pathology reports.",AMIA Jt Summits Transl Sci Proc,2015-03-23,NA,26306239,PMC4525265,2012_NAR_Schriml,Journal Article,pubmed; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Mehdi M,A Linked Data Visualiser for Finite Element Biosimulations,International Journal of Semantic Computing,2016-06-01,10.1142/S1793351X16400080,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85073051126
Zhao Y,A Literature Review of Gene Function Prediction by Modeling Gene Ontology.,Front Genet,2020-04-24,10.3389/fgene.2020.00400,32391061,PMC7193026,2012_NAR_Schriml,Journal Article|Review,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Wang CC,A machine learning-driven approach for prioritizing food contact chemicals of carcinogenic concern based on complementary in silico methods,Food and Chemical Toxicology,2022-02-01,10.1016/j.fct.2021.112802,34979167,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85122141226
Antoniou PE,A medical ontology informed user experience taxonomy to support co-creative workflows for authoring mixed reality medical education spaces,"Proceedings of 2021 7th International Conference of the Immersive Learning Research Network, iLRN 2021",2021-05-17,10.23919/iLRN52045.2021.9459388,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85113636955
Bai T,A method for exploring implicit concept relatedness in biomedical knowledge network.,BMC Bioinformatics,2016-07-19,10.1186/s12859-016-1131-5,27454167,PMC4959351,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Wang L,A method for the development of disease-specific reference standards vocabularies from textual biomedical literature resources.,Artif Intell Med,2016-03-01,10.1016/j.artmed.2016.02.003,26971304,PMC5588695,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Ni Y,A Molecular-Level Landscape of Diet-Gut Microbiome Interactions: Toward Dietary Interventions Targeting Bacterial Genes.,mBio,2015-10-27,10.1128/mBio.01263-15,26507230,PMC4626853,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Mosca E,A multilevel data integration resource for breast cancer study.,BMC Syst Biol,2010-06-03,10.1186/1752-0509-4-76,20525248,PMC2900226,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zhou Y,A network medicine approach to investigation and population-based validation of disease manifestations and drug repurposing for COVID-19.,PLoS Biol,2020-11-06,10.1371/journal.pbio.3000970,33156843,PMC7728249,2018_DMM_Bello,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Vitali F,A Network-Based Data Integration Approach to Support Drug Repurposing and Multi-Target Therapies in Triple Negative Breast Cancer.,PLoS One,2016-09-15,10.1371/journal.pone.0162407,27632168,PMC5025072,2015_MG_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Sadeghi S,A Network-Based Drug Repurposing Method Via Non-Negative Matrix Factorization.,Bioinformatics,2021-12-07,10.1093/bioinformatics/btab826,34875000,PMC8825773,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Le DH,A network-based method for predicting disease-associated enhancers.,PLoS One,2021-12-08,10.1371/journal.pone.0260432,34879086,PMC8654176,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Stoilos G,A novel approach and practical algorithms for ontology integration,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018-01-01,10.1007/978-3-030-00671-6_27,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85053808047
Luo J,A novel approach for predicting microRNA-disease associations by unbalanced bi-random walk on heterogeneous network,Journal of Biomedical Informatics,2017-02-01,10.1016/j.jbi.2017.01.008,28104458,NA,2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-85010310952
Jubair S,A novel approach to identify subtype-specific network biomarkers of breast cancer survivability,Network Modeling Analysis in Health Informatics and Bioinformatics,2020-12-01,10.1007/s13721-020-00249-4,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85086747203
Hu Y,A Novel Method for Identifying Alzheimer's Disease-related Proteins,"Proceedings - 2018 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2018",2019-01-21,10.1109/BIBM.2018.8621492,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85062572780
Xuan Z,A Novel Method for Predicting Disease-Associated LncRNA-MiRNA Pairs Based on the Higher-Order Orthogonal Iteration.,Comput Math Methods Med,2019-05-02,10.1155/2019/7614850,31191710,PMC6525924,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Peng W,"A novel method of predicting microRNA-disease associations based on microRNA, disease, gene and environment factor networks",Methods,2017-07-15,10.1016/j.ymeth.2017.05.024,28576328,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85020173914
Peng J,A novel method to measure the semantic similarity of HPO terms,International Journal of Data Mining and Bioinformatics,2017-01-01,10.1504/IJDMB.2017.084268,NA,NA,2012_NAR_Schriml,Journal|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85019683581
Zhou S,A Novel Model for Predicting Associations between Diseases and LncRNA-miRNA Pairs Based on a Newly Constructed Bipartite Network.,Comput Math Methods Med,2018-05-06,10.1155/2018/6789089,29853986,PMC5960578,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Palluzzi F,"A novel network analysis approach reveals DNA damage, oxidative stress and calcium/cAMP homeostasis-associated biomarkers in frontotemporal dementia.",PLoS One,2017-10-11,10.1371/journal.pone.0185797,29020091,PMC5636111,2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Chen CH,A novel platform for discovery of differentially expressed microRNAs in patients with repeated implantation failure,Fertility and Sterility,2021-07-01,10.1016/j.fertnstert.2021.01.055,33823989,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85103726271
Jiang J,A Novel Prioritization Method in Identifying Recurrent Venous Thromboembolism-Related Genes.,PLoS One,2016-04-06,10.1371/journal.pone.0153006,27050193,PMC4822849,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Peng J,A novel subnetwork representation learning method for uncovering disease-disease relationships,Methods,2021-08-01,10.1016/j.ymeth.2020.09.002,32946974,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85092611083
Xi J,A novel unsupervised learning model for detecting driver genes from pan-cancer data through matrix tri-factorization framework with pairwise similarities constraints,Neurocomputing,2018-06-28,10.1016/j.neucom.2018.03.026,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85045197196
Korbolina EE,A Panel of rSNPs Demonstrating Allelic Asymmetry in Both ChIP-seq and RNA-seq Data and the Search for Their Phenotypic Outcomes through Analysis of DEGs.,Int J Mol Sci,2021-07-06,10.3390/ijms22147240,34298860,PMC8303726,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Alian S,A Personalized Recommendation System to Support Diabetes Self-Management for American Indians,IEEE Access,2018-01-01,10.1109/ACCESS.2018.2882138,NA,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85056710143
Anderson D,A phenotype centric benchmark of variant prioritisation tools.,NPJ Genom Med,2018-02-05,10.1038/s41525-018-0044-9,29423277,PMC5799157,2012_NAR_Schriml,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Reisle C,A platform for oncogenomic reporting and interpretation.,Nat Commun,2022-02-09,10.1038/s41467-022-28348-y,35140225,PMC8828759,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Torcivia-Rodriguez J,A primer for access to repositories of cancer-related genomic big data,Methods in Molecular Biology,2019-01-01,10.1007/978-1-4939-8868-6_1,30378067,NA,2015_DB_Wu|2012_NAR_Schriml,Book Series|Book Chapter,scopus,2022-03-17T18:48:11Z,2-s2.0-85055652094
Tiffin N,A prioritization analysis of disease association by data-mining of functional annotation of human genes,Post-genomic Approaches in Drug and Vaccine Development,2015-03-30,NA,NA,NA,2009_BMCG_Osborne,Book|Book Chapter,scopus,2022-03-17T18:48:46Z,2-s2.0-85077089762
He K,A Probabilistic Matrix Decomposition Method for Identifying miRNA-Disease Associations,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020-01-01,10.1007/978-3-030-60802-6_35,NA,NA,2019_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:41Z,2-s2.0-85094137124
Forrest AR,A promoter-level mammalian expression atlas.,Nature,2014-03-27,10.1038/nature13182,24670764,PMC4529748,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Yao D,A random forest based computational model for predicting novel lncRNA-disease associations.,BMC Bioinformatics,2020-03-27,10.1186/s12859-020-3458-1,32216744,PMC7099795,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Caufield JH,A reference set of curated biomedical data and metadata from clinical case reports.,Sci Data,2018-11-20,10.1038/sdata.2018.258,30457569,PMC6244181,2015_NAR_Kibbe,"
	",pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Shi Z,A representation learning model based on variational inference and graph autoencoder for predicting lncRNA-disease associations.,BMC Bioinformatics,2021-03-21,10.1186/s12859-021-04073-z,33745450,PMC7983260,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Lou P,A representation model for biological entities by fusing structured axioms with unstructured texts,Bioinformatics,2021-04-15,10.1093/bioinformatics/btaa913,33107905,NA,2019_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:41Z,2-s2.0-85107091485
Elmore SA,A Review of Current Standards and the Evolution of Histopathology Nomenclature for Laboratory Animals.,ILAR J,2018-12-01,10.1093/ilar/ily005,30476141,PMC6927895,2018_DMM_Bello|2015_NAR_Kibbe,Journal Article,pubmed; scopus,2022-03-17T18:47:32Z,NA
Bernasconi A,A review on viral data sources and search systems for perspective mitigation of COVID-19.,Brief Bioinform,2021-03-22,10.1093/bib/bbaa359,33348368,PMC7799334,2019_NAR_Schriml,Journal Article|Review,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Joodaki M,A scalable random walk with restart on heterogeneous networks with Apache Spark for ranking disease-related genes through type-II fuzzy data fusion,Journal of Biomedical Informatics,2021-03-01,10.1016/j.jbi.2021.103688,33545331,NA,2009_BMCG_Osborne,Journal|Article,scopus,2022-03-17T18:48:46Z,2-s2.0-85101012028
Zgheib R,A scalable semantic framework for IoT healthcare applications,Journal of Ambient Intelligence and Humanized Computing,2020-01-01,10.1007/s12652-020-02136-2,NA,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85086373705
Howe DG,A scientist's guide for submitting data to ZFIN.,Methods Cell Biol,2016-01-01,10.1016/bs.mcb.2016.04.010,27443940,PMC6319372,2015_MG_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Norris E,A scoping review of ontologies related to human behaviour change,Nature Human Behaviour,2019-02-01,10.1038/s41562-018-0511-4,30944444,NA,2012_NAR_Schriml,Journal|Article,scopus,2022-03-17T18:48:19Z,2-s2.0-85060111072
Hammad R,A Semantic-Based Approach for Managing Healthcare Big Data: A Survey.,J Healthc Eng,2020-11-23,10.1155/2020/8865808,33489061,PMC7787845,NA,Journal Article|Review,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Aubeeluck M,A smart mobile health application for mauritius,Advances in Intelligent Systems and Computing,2019-01-01,10.1007/978-981-13-3338-5_31,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85061620890
Vita R,A structured model for immune exposures.,Database (Oxford),2020-01-01,10.1093/database/baaa016,32283555,PMC7153954,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zolotareva O,A Survey of Gene Prioritization Tools for Mendelian and Complex Human Diseases.,J Integr Bioinform,2019-09-09,10.1515/jib-2018-0069,31494632,PMC7074139,2015_NAR_Kibbe,Journal Article|Review,pubmed,2022-03-17T18:47:32Z,NA
Qin G,A survey on computational approaches to identifying disease biomarkers based on molecular networks.,J Theor Biol,2014-12-07,10.1016/j.jtbi.2014.06.007,24931674,NA,NA,Journal Article|Review,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Zhang X,A survey on knowledge representation in materials science and engineering: An ontological perspective,Computers in Industry,2015-10-01,10.1016/j.compind.2015.07.005,NA,NA,2012_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:48:19Z,2-s2.0-84941958043
Dimitrieski V,A survey on ontologies and ontology alignment approaches in healthcare,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2016-01-01,10.1007/978-3-319-42007-3_32,NA,NA,2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-84978870724
Wen Z,A survey on predicting microbe-disease associations: Biological data and computational methods,Briefings in Bioinformatics,2021-05-01,10.1093/bib/bbaa157,34020541,NA,2019_NAR_Schriml,Journal|Review,scopus,2022-03-17T18:47:41Z,2-s2.0-85106752233
Canino G,A system for geoanalysis of clinical and geographical data,"Proceedings of the 3rd ACM SIGSPATIAL International Workshop on the Use of GIS in Public Health, HealthGIS 2014 - In Conjuncture with the 22nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM GIS 2014",2014-11-04,10.1145/2676629.2676635,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-84926299420
Zhou X,A Systems Approach to Refine Disease Taxonomy by Integrating Phenotypic and Molecular Networks.,EBioMedicine,2018-05-01,10.1016/j.ebiom.2018.04.002,29669699,PMC6013753,2015_NAR_Kibbe,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Liu M,A tree-based gene–environment interaction analysis with rare features,Statistical Analysis and Data Mining,2022-01-01,10.1002/sam.11578,NA,NA,2015_NAR_Kibbe,Journal|Article,scopus,2022-03-17T18:47:55Z,2-s2.0-85125411898
Filippidis P,A unified semantic sports concepts classification as a key device for multidimensional sports analysis,"Proceedings - 13th International Workshop on Semantic and Social Media Adaptation and Personalization, SMAP 2018",2018-10-19,10.1109/SMAP.2018.8501868,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85057107539
Wang Y,A unifying ontology to integrate histological and clinical observations for drug-induced liver injury,American Journal of Pathology,2013-04-01,10.1016/j.ajpath.2012.12.033,23395088,NA,2012_NAR_Schriml,Journal|Article,scopus; ncbi_col-pubmed,2022-03-17T18:48:19Z,2-s2.0-84875202553
Wang D,AAgAtlas 1.0: a human autoantigen database.,Nucleic Acids Res,2017-01-04,10.1093/nar/gkw946,27924021,PMC5210642,2015_NAR_Kibbe|2012_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Li Y,Abnormal upregulation of cardiovascular disease biomarker PLA2G7 induced by proinflammatory macrophages in COVID-19 patients.,Sci Rep,2021-03-24,10.1038/s41598-021-85848-5,33762651,PMC7990942,2019_NAR_Schriml,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
