ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
8001/0	Preferred	Tumor cells, benign	NA	NA	NA	NA	NA	NA	NA
8001/1	Preferred	Tumor cells, uncertain whether benign or malignant	NA	NA	NA	NA	NA	NA	NA
8001/1	Synonym	Tumor cells, NOS	NA	NA	NA	NA	NA	NA	NA
8001/3	Preferred	Tumor cells, malignant	NA	NA	NA	NA	NA	NA	NA
8002/3	Preferred	Malignant tumor, small cell type	NA	NA	NA	NA	NA	NA	NA
8003/3	Preferred	Malignant tumor, giant cell type	NA	NA	NA	NA	NA	NA	NA
8004/3	Preferred	Malignant tumor, spindle cell type	NA	NA	NA	NA	NA	NA	NA
8004/3	Synonym	Malignant tumor, fusiform cell type	NA	NA	NA	NA	NA	NA	NA
8005/0	Preferred	Clear cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8005/3	Preferred	Malignant tumor, clear cell type	NA	NA	NA	NA	NA	NA	NA
801-804	2	Epithelial neoplasms, NOS	NA	NA	NA	NA	NA	NA	NA
8010/0	Preferred	Epithelial tumor, benign	NA	NA	NA	NA	NA	NA	NA
8010/2	Preferred	Carcinoma in situ, NOS	NA	NA	NA	NA	NA	NA	NA
8010/2	Synonym	Intraepithelial carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8010/3	Preferred	Carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8010/3	Synonym	Epithelial tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8010/3	Related	Heterotopia-associated carcinoma	NA	NA	NA	NA	NA	NA	NA
8010/6	Preferred	Carcinoma, metastatic, NOS	NA	NA	NA	NA	NA	NA	NA
8010/6	Synonym	Secondary carcinoma	NA	NA	NA	NA	NA	NA	NA
8010/9	Preferred	Carcinomatosis	NA	NA	NA	NA	NA	NA	NA
8011/0	Preferred	Epithelioma, benign	NA	NA	NA	NA	NA	NA	NA
8011/3	Preferred	Epithelioma, malignant	NA	NA	NA	NA	NA	NA	NA
8011/3	Synonym	Epithelioma, NOS	NA	NA	NA	NA	NA	NA	NA
8012/3	Preferred	Large cell carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8013/3	Preferred	Large cell neuroendocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8013/3	Related	Combined large cell neuroendocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8014/3	Preferred	Large cell carcinoma with rhabdoid phenotype	NA	NA	NA	NA	NA	NA	NA
8015/3	Preferred	Glassy cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8020/3	Preferred	Carcinoma, undifferentiated, NOS	NA	NA	NA	NA	NA	NA	NA
8020/3	Related	Carcinoma, poorly differentiated, NOS	NA	NA	NA	NA	NA	NA	NA
8020/3	Related	Anaplastic undifferentiated carcinoma	NA	NA	NA	NA	NA	NA	NA
8020/3	Related	Dedifferentiated carcinoma	NA	NA	NA	NA	NA	NA	NA
8021/3	Preferred	Carcinoma, anaplastic, NOS	NA	NA	NA	NA	NA	NA	NA
8022/3	Preferred	Pleomorphic carcinoma	NA	NA	NA	NA	NA	NA	NA
8023/3	Preferred	Nuclear protein in testis (NUT)-associated carcinoma	NA	NA	NA	NA	NA	NA	NA
8023/3	Synonym	NUT carcinoma	NA	NA	NA	NA	NA	NA	NA
8023/3	Synonym	NUT midline carcinoma	NA	NA	NA	NA	NA	NA	NA
8030/3	Preferred	Giant cell and spindle cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8031/3	Preferred	Giant cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8032/3	Preferred	Spindle cell carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8033/3	Preferred	Pseudosarcomatous carcinoma	NA	NA	NA	NA	NA	NA	NA
8033/3	Synonym	Sarcomatoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8034/3	Preferred	Polygonal cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8035/3	Preferred	Carcinoma with osteoclast-like giant cells	NA	NA	NA	NA	NA	NA	NA
8035/3	Related	Squamous carcinoma with osteoclast-like giant cells	NA	NA	NA	NA	NA	NA	NA
8035/3	Related	Undifferentiated carcinoma with osteoclast-like giant cells	NA	NA	NA	NA	NA	NA	NA
8040/0	Preferred	Tumorlet, benign	NA	NA	NA	NA	NA	NA	NA
8040/0	Related	Diffuse idiopathic neuroendocrine cell hyperplasia	NA	NA	NA	NA	NA	NA	NA
8040/1	Preferred	Tumorlet, NOS	NA	NA	NA	NA	NA	NA	NA
8041/3	Preferred	Small cell carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8041/3	Synonym	Reserve cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8041/3	Synonym	Round cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8041/3	Related	Small cell neuroendocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8041/3	Synonym	Small cell carcinoma, pulmonary type	NA	NA	NA	NA	NA	NA	NA
8042/3	Preferred	Oat cell carcinoma	(C34._)	[obs]	NA	NA	NA	NA	NA
8043/3	Preferred	Small cell carcinoma, fusiform cell	NA	NA	NA	NA	NA	NA	NA
8044/3	Preferred	Small cell carcinoma, intermediate cell	NA	NA	NA	NA	NA	NA	NA
8044/3	Related	Small cell carcinoma, hypercalcemic type	(C56.9)	NA	NA	NA	NA	NA	NA
8045/3	Preferred	Combined small cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8045/3	Synonym	Mixed small cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8045/3	Related	Combined small cell-adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8045/3	Related	Combined small cell-large cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8045/3	Related	Combined small cell-squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8046/3	Preferred	Non-small cell carcinoma	(C34._)	NA	NA	NA	NA	NA	NA
805-808	2	Squamous cell neoplasms	NA	NA	NA	NA	NA	NA	NA
8050/0	Preferred	Papilloma, NOS	NA	NA	NA	NA	NA	(except of bladder M-8120/0)	NA
8050/2	Preferred	Papillary carcinoma in situ, NOS	NA	NA	NA	NA	NA	NA	NA
8050/3	Preferred	Papillary carcinoma, NOS	NA	NA	NA	NA	NA	(except of thyroid M-8260/3)	NA
8051/0	Preferred	Verrucous papilloma	NA	NA	NA	NA	NA	NA	NA
8051/3	Preferred	Verrucous carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8051/3	Synonym	Verrucous epidermoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8051/3	Synonym	Verrucous squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8052/0	Preferred	Squamous cell papilloma, NOS	NA	NA	NA	NA	NA	NA	NA
8052/0	Synonym	Keratotic papilloma	NA	NA	NA	NA	NA	NA	NA
8052/0	Synonym	Squamous papilloma	NA	NA	NA	NA	NA	NA	NA
8052/0	Related	Benign keratosis, NOS	NA	NA	(see also M-8070/0)	NA	NA	NA	NA
8052/0	Related	Seborrhoeic keratosis	NA	NA	NA	NA	NA	NA	NA
8052/0	Related	Solar lentigo	NA	NA	NA	NA	NA	NA	NA
8052/0	Related	Lichen planus-like keratosis	NA	NA	NA	NA	NA	NA	NA
8052/2	Preferred	Papillary squamous cell carcinoma, non-invasive	NA	NA	NA	NA	NA	NA	NA
8052/2	Synonym	Papillary squamous cell carcinoma in situ	NA	NA	NA	NA	NA	NA	NA
8052/3	Preferred	Papillary squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8052/3	Synonym	Papillary epidermoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8053/0	Preferred	Squamous cell papilloma, inverted	NA	NA	NA	NA	NA	NA	NA
8054/0	Preferred	Warty dyskeratoma	NA	NA	NA	NA	NA	NA	NA
8054/3	Preferred	Warty carcinoma	NA	NA	NA	NA	NA	NA	NA
8054/3	Synonym	Condylomatous carcinoma	NA	NA	NA	NA	NA	NA	NA
8054/3	Related	Warty-basaloid carcinoma	NA	NA	NA	NA	NA	NA	NA
8060/0	Preferred	Squamous papillomatosis	NA	NA	NA	NA	NA	NA	NA
8060/0	Synonym	Papillomatosis, NOS	NA	NA	NA	NA	NA	NA	NA
8070/0	Preferred	Actinic keratosis	NA	NA	NA	NA	NA	NA	NA
8070/0	Related	Arsenical keratosis	NA	NA	NA	NA	NA	NA	NA
8070/0	Related	PUVA keratosis	NA	NA	NA	NA	NA	NA	NA
8070/2	Preferred	Squamous cell carcinoma in situ, NOS	NA	NA	NA	NA	NA	NA	NA
8070/2	Synonym	Epidermoid carcinoma in situ, NOS	NA	NA	NA	NA	NA	NA	NA
8070/2	Synonym	Intraepidermal carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8070/2	Synonym	Intraepithelial squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8070/3	Preferred	Squamous cell carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8070/3	Synonym	Squamous cell carcinoma, usual type	NA	NA	NA	NA	NA	NA	NA
8070/3	Synonym	Epidermoid carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8070/3	Synonym	Squamous carcinoma	NA	NA	NA	NA	NA	NA	NA
8070/3	Synonym	Squamous cell epithelioma	NA	NA	NA	NA	NA	NA	NA
8070/6	Preferred	Squamous cell carcinoma, metastatic, NOS	NA	NA	NA	NA	NA	NA	NA
8071/2	Preferred	Differentiated intraepithelial neoplasia	NA	NA	NA	NA	NA	NA	NA
8071/2	Related	Differentiated penile intraepithelial neoplasia (PeIN)	(C60._)	NA	NA	NA	NA	NA	NA
8071/2	Related	Differentiated vulvar intraepithelial neoplasia (VIN)	(C51._)	NA	NA	NA	NA	NA	NA
8071/3	Preferred	Squamous cell carcinoma, keratinizing, NOS	NA	NA	NA	NA	NA	NA	NA
8071/3	Synonym	Epidermoid carcinoma, keratinizing	NA	NA	NA	NA	NA	NA	NA
8071/3	Synonym	Squamous cell carcinoma, large cell, keratinizing	NA	NA	NA	NA	NA	NA	NA
8071/3	Related	Keratoacanthoma	NA	NA	NA	NA	NA	NA	NA
8072/0	Preferred	Large cell acanthoma	NA	NA	NA	NA	NA	NA	NA
8072/3	Preferred	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	NA	NA	NA	NA	NA	NA	NA
8072/3	Synonym	Epidermoid carcinoma, large cell, nonkeratinizing	NA	NA	NA	NA	NA	NA	NA
8072/3	Synonym	Squamous cell carcinoma, nonkeratinizing, NOS	NA	NA	NA	NA	NA	NA	NA
8073/3	Preferred	Squamous cell carcinoma, small cell, nonkeratinizing	NA	NA	NA	NA	NA	NA	NA
8073/3	Synonym	Epidermoid carcinoma, small cell, nonkeratinizing	NA	NA	NA	NA	NA	NA	NA
8074/3	Preferred	Squamous cell carcinoma, spindle cell	NA	NA	NA	NA	NA	NA	NA
8074/3	Synonym	Epidermoid carcinoma, spindle cell	NA	NA	NA	NA	NA	NA	NA
8074/3	Synonym	Squamous cell carcinoma, sarcomatoid	NA	NA	NA	NA	NA	NA	NA
8074/3	Related	Pseudovascular squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8075/3	Preferred	Squamous cell carcinoma, adenoid	NA	NA	NA	NA	NA	NA	NA
8075/3	Synonym	Squamous cell carcinoma, acantholytic	NA	NA	NA	NA	NA	NA	NA
8075/3	Synonym	Squamous cell carcinoma, pseudoglandular	NA	NA	NA	NA	NA	NA	NA
8076/2	Preferred	Squamous cell carcinoma in situ with questionable stromal invasion	NA	NA	NA	NA	NA	NA	NA
8076/2	Synonym	Epidermoid carcinoma in situ with questionable stromal invasion	NA	NA	NA	NA	NA	NA	NA
8076/3	Preferred	Squamous cell carcinoma, microinvasive	NA	NA	NA	NA	NA	NA	NA
8077/0	Preferred	Squamous intraepithelial neoplasia, low grade	NA	NA	NA	NA	NA	NA	NA
8077/0	Synonym	Squamous intraepithelial neoplasia, grade I	NA	NA	NA	NA	NA	NA	NA
8077/0	Synonym	Low grade squamous intraepithelial lesion	NA	NA	NA	NA	NA	NA	NA
8077/0	Related	Anal intraepithelial neoplasia, low grade	(C21.1)	NA	NA	NA	NA	NA	NA
8077/0	Related	Cervical intraepithelial neoplasia, low grade	(C53._)	NA	NA	NA	NA	NA	NA
8077/0	Related	Esophageal squamous intraepithelial neoplasia (dysplasia), low grade	(C15._)	NA	NA	NA	NA	NA	NA
8077/2	Preferred	Squamous intraepithelial neoplasia, high grade	NA	NA	NA	NA	NA	NA	NA
8077/2	Synonym	Squamous intraepithelial neoplasia, grade II	NA	NA	NA	NA	NA	NA	NA
8077/2	Synonym	Squamous intraepithelial neoplasia, grade III	NA	NA	NA	NA	NA	NA	NA
8077/2	Synonym	Squamous dysplasia, high grade	NA	NA	NA	NA	NA	NA	NA
8077/2	Synonym	High grade squamous intraepithelial lesion	NA	NA	NA	NA	NA	NA	NA
8077/2	Related	Anal intraepithelial neoplasia, grade III	(C21.1)	NA	NA	NA	NA	NA	NA
8077/2	Synonym	AIN III	(C21.1)	NA	NA	NA	NA	NA	NA
8077/2	Related	Cervical intraepithelial neoplasia, grade III	(C53._)	NA	NA	NA	NA	NA	NA
8077/2	Synonym	CIN III, NOS	(C53._)	NA	NA	NA	NA	NA	NA
8077/2	Synonym	CIN III with severe dysplasia	(C53._)	NA	NA	NA	NA	NA	NA
8077/2	Related	Esophageal squamous intraepithelial neoplasia (dysplasia), high grade	(C15._)	NA	NA	NA	NA	NA	NA
8077/2	Related	Vaginal intraepithelial neoplasia, grade III	(C52._)	NA	NA	NA	NA	NA	NA
8077/2	Synonym	VAIN III	(C52._)	NA	NA	NA	NA	NA	NA
8077/2	Related	Vulvar intraepithelial neoplasia, grade III	(C51._)	NA	NA	NA	NA	NA	NA
8077/2	Synonym	VIN III	(C51._)	NA	NA	NA	NA	NA	NA
8078/3	Preferred	Squamous cell carcinoma with horn formation	NA	NA	NA	NA	NA	NA	NA
8080/2	Preferred	Queyrat erythroplasia	(C60._)	NA	NA	NA	NA	NA	NA
8081/2	Preferred	Bowen disease	(C44._)	NA	NA	NA	NA	NA	NA
8081/2	Synonym	Intraepidermal squamous cell carcinoma, Bowen type	(C44._)	NA	NA	NA	NA	NA	NA
8082/3	Preferred	Lymphoepithelial carcinoma	NA	NA	NA	NA	NA	NA	NA
8082/3	Synonym	Lymphoepithelioma	NA	NA	NA	NA	NA	NA	NA
8082/3	Synonym	Lymphoepithelioma-like carcinoma	NA	NA	NA	NA	NA	NA	NA
8082/3	Related	Schmincke tumor	(C11._)	NA	NA	NA	NA	NA	NA
8083/3	Preferred	Basaloid squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8083/3	Related	Papillary-basaloid carcinoma	NA	NA	NA	NA	NA	NA	NA
8084/0	Preferred	Clear cell acanthoma	NA	NA	NA	NA	NA	NA	NA
8084/3	Preferred	Squamous cell carcinoma, clear cell type	NA	NA	NA	NA	NA	NA	NA
8085/3	Preferred	Squamous cell carcinoma, HPV positive	NA	NA	NA	NA	NA	NA	NA
8086/3	Preferred	Squamous cell carcinoma, HPV negative	NA	NA	NA	NA	NA	NA	NA
809-811	2	Basal cell neoplasms	NA	NA	NA	NA	NA	NA	NA
8090/1	Preferred	Basal cell tumor	(C44._)	[obs]	NA	NA	NA	NA	NA
8090/3	Preferred	Basal cell carcinoma, NOS	(C44._)	NA	NA	NA	NA	(except of prostate M-8147/3)	NA
8090/3	Synonym	Basal cell epithelioma	(C44._)	NA	NA	NA	NA	NA	NA
8090/3	Synonym	Rodent ulcer	(C44._)	NA	NA	NA	NA	NA	NA
8090/3	Related	Pigmented basal cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8090/3	Related	Basal cell carcinoma with adnexal differentiation	(C44._)	NA	NA	NA	NA	NA	NA
8091/3	Preferred	Superficial basal cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8091/3	Synonym	Multifocal superficial basal cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8091/3	Synonym	Multicentric basal cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Preferred	Infiltrating basal cell carcinoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Related	Infiltrating basal cell carcinoma, non-sclerosing	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Related	Infiltrating basal cell carcinoma, sclerosing	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Synonym	Basal cell carcinoma, desmoplastic type	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Synonym	Basal cell carcinoma, morpheic	(C44._)	NA	NA	NA	NA	NA	NA
8092/3	Related	Basal cell carcinoma, sarcomatoid	(C44._)	NA	NA	NA	NA	NA	NA
8093/3	Preferred	Basal cell carcinoma, fibroepithelial	(C44._)	NA	NA	NA	NA	NA	NA
8093/3	Synonym	Fibroepithelioma, NOS	NA	NA	NA	NA	NA	NA	NA
8093/3	Synonym	Fibroepithelioma of Pinkus type	NA	NA	NA	NA	NA	NA	NA
8093/3	Synonym	Fibroepithelial basal cell carcinoma, Pinkus type	NA	NA	NA	NA	NA	NA	NA
8093/3	Synonym	Pinkus tumor	NA	NA	NA	NA	NA	NA	NA
8094/3	Preferred	Basosquamous carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8094/3	Synonym	Mixed basal-squamous cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8095/3	Preferred	Metatypical carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8096/0	Preferred	Intraepidermal epithelioma of Jadassohn	(C44._)	NA	NA	NA	NA	NA	NA
8097/3	Preferred	Basal cell carcinoma, nodular	(C44._)	NA	NA	NA	NA	NA	NA
8097/3	Related	Basal cell carcinoma, micronodular	(C44._)	NA	NA	NA	NA	NA	NA
8098/3	Preferred	Adenoid basal carcinoma	(C53._)	NA	NA	NA	NA	NA	NA
8100/0	Preferred	Trichoepithelioma	(C44._)	NA	NA	NA	NA	NA	NA
8100/0	Synonym	Brooke tumor	(C44._)	NA	NA	NA	NA	NA	NA
8100/0	Synonym	Epithelioma adenoides cysticum	(C44._)	NA	NA	NA	NA	NA	NA
8100/0	Related	Trichoblastoma	(C44._)	NA	NA	NA	NA	NA	NA
8100/0	Related	Trichogerminoma	(C44._)	NA	NA	NA	NA	NA	NA
8100/3	Preferred	Trichoblastic carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8100/3	Related	Trichoblastic carcinosarcoma	(C44._)	NA	NA	NA	NA	NA	NA
8101/0	Preferred	Trichofolliculoma	(C44._)	NA	NA	NA	NA	NA	NA
8102/0	Preferred	Trichilemmoma	(C44._)	NA	NA	NA	NA	NA	NA
8102/3	Preferred	Trichilemmocarcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8102/3	Synonym	Trichilemmal carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8103/0	Preferred	Pilar tumor	(C44._)	NA	NA	NA	NA	NA	NA
8103/1	Preferred	Proliferating trichilemmal cyst	(C44._)	NA	NA	NA	NA	NA	NA
8103/1	Synonym	Proliferating trichilemmal tumor	(C44._)	NA	NA	NA	NA	NA	NA
8104/0	Preferred	Pilar sheath acanthoma	(C44._)	NA	NA	NA	NA	NA	NA
8104/0	Related	Tumor of follicular infundibulum	(C44._)	NA	NA	NA	NA	NA	NA
8110/0	Preferred	Pilomatricoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8110/0	Synonym	Pilomatrixoma, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8110/0	Synonym	Calcifying epithelioma of Malherbe	(C44._)	NA	NA	NA	NA	NA	NA
8110/0	Related	Melanocytic matricoma	(C44._)	NA	NA	NA	NA	NA	NA
8110/3	Preferred	Pilomatrical carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8110/3	Synonym	Pilomatrix carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8110/3	Synonym	Matrical carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8110/3	Synonym	Pilomatricoma, malignant	(C44._)	NA	NA	NA	NA	NA	NA
8110/3	Synonym	Pilomatrixoma, malignant	(C44._)	NA	NA	NA	NA	NA	NA
812-813	2	Transitional cell papillomas and carcinomas	NA	NA	NA	NA	NA	NA	NA
8120/0	Preferred	Urothelial papilloma, NOS	NA	NA	NA	NA	NA	NA	NA
8120/0	Synonym	Transitional cell papilloma, benign	NA	[obs]	NA	NA	NA	NA	NA
8120/0	Synonym	Transitional papilloma	NA	[obs]	NA	NA	NA	NA	NA
8120/0	Synonym	Transitional cell papilloma, NOS	NA	NA	NA	NA	NA	NA	NA
8120/0	Synonym	Papilloma of bladder	(C67._)	NA	NA	NA	NA	NA	NA
8120/2	Preferred	Urothelial carcinoma in situ	NA	NA	NA	NA	NA	NA	NA
8120/2	Synonym	Transitional cell carcinoma in situ	NA	NA	NA	NA	NA	NA	NA
8120/3	Preferred	Transitional cell carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8120/3	Synonym	Urothelial carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8120/3	Related	Transitional carcinoma	NA	NA	NA	NA	NA	NA	NA
8120/3	Related	Squamotransitional carcinoma	NA	NA	NA	NA	NA	NA	NA
8121/0	Preferred	Sinonasal papilloma, exophytic	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/0	Synonym	Schneiderian papilloma, NOS	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/0	Synonym	Sinonasal papilloma, NOS	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/0	Synonym	Sinonasal papilloma, fungiform	(C30.0, C31._)	[obs]	NA	NA	NA	NA	NA
8121/0	Related	Urothelial papilloma, inverted	NA	NA	NA	NA	NA	NA	NA
8121/0	Related	Transitional papilloma, inverted, NOS	NA	NA	NA	NA	NA	NA	NA
8121/0	Synonym	Transitional cell papilloma, inverted, NOS	NA	NA	NA	NA	NA	NA	NA
8121/1	Preferred	Sinonasal papilloma, inverted	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/1	Related	Columnar cell papilloma	NA	NA	NA	NA	NA	NA	NA
8121/1	Related	Cylindrical cell papilloma	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/1	Related	Schneiderian papilloma, oncocytic	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/1	Related	Schneiderian papilloma, inverted	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/1	Related	Sinonasal papilloma, oncocytic	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/3	Preferred	Schneiderian carcinoma	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8121/3	Related	Cylindrical cell carcinoma	(C30.0, C31._)	NA	NA	NA	NA	NA	NA
8122/3	Preferred	Urothelial carcinoma, sarcomatoid	NA	NA	NA	NA	NA	NA	NA
8122/3	Synonym	Urothelial carcinoma, spindle cell	NA	NA	NA	NA	NA	NA	NA
8122/3	Synonym	Transitional cell carcinoma, spindle cell	NA	NA	NA	NA	NA	NA	NA
8122/3	Synonym	Transitional cell carcinoma, sarcomatoid	NA	NA	NA	NA	NA	NA	NA
8123/3	Preferred	Basaloid carcinoma	NA	NA	NA	NA	NA	NA	NA
8124/3	Preferred	Cloacogenic carcinoma	(C21.2)	[obs]	NA	NA	NA	NA	NA
8130/1	Preferred	Papillary urothelial neoplasm of low malignant potential	(C67._)	NA	NA	NA	NA	NA	NA
8130/1	Synonym	Papillary transitional cell neoplasm of low malignant potential	(C67._)	NA	NA	NA	NA	NA	NA
8130/2	Preferred	Papillary urothelial carcinoma, non-invasive	(C67._)	NA	NA	NA	NA	NA	NA
8130/2	Synonym	Papillary transitional cell carcinoma, non-invasive	(C67._)	NA	NA	NA	NA	NA	NA
8130/3	Preferred	Papillary urothelial carcinoma	(C67._)	[obs]	NA	NA	NA	NA	NA
8130/3	Synonym	Papillary transitional cell carcinoma	(C67._)	[obs]	NA	NA	NA	NA	NA
8131/3	Preferred	Urothelial carcinoma, micropapillary	(C67._)	NA	NA	NA	NA	NA	NA
8131/3	Synonym	Transitional cell carcinoma, micropapillary	(C67._)	NA	NA	NA	NA	NA	NA
814-838	2	Adenomas and adenocarcinomas	NA	NA	NA	NA	NA	NA	NA
8140/0	Preferred	Adenoma, NOS	NA	NA	NA	NA	NA	(except of pituitary M-8272/0 or nipple M-8506/0 or rete ovarii M-9110/0)	NA
8140/1	Preferred	Atypical adenoma	NA	NA	NA	NA	NA	NA	NA
8140/1	Synonym	Bronchial adenoma, NOS	(C34._)	NA	NA	NA	NA	NA	NA
8140/2	Preferred	Adenocarcinoma in situ, NOS	NA	NA	NA	NA	NA	NA	NA
8140/3	Preferred	Adenocarcinoma, NOS	NA	NA	NA	NA	NA	(except of anal glands/ducts M-8215/3 or rete ovarii M-9110/3)	NA
8140/3	Synonym	Adenocarcinoma, usual type	NA	NA	NA	NA	NA	NA	NA
8140/3	Related	Carcinoma of Skene, Cowper and Littre glands	NA	NA	NA	NA	NA	NA	NA
8140/3	Related	Endolymphatic sac tumor	NA	NA	NA	NA	NA	NA	NA
8140/3	Related	Parathyroid carcinoma	(C75.0)	NA	NA	NA	NA	NA	NA
8140/3	Related	Acinar adenocarcinoma of prostate	(C61.9)	NA	NA	NA	NA	NA	NA
8140/6	Preferred	Adenocarcinoma, metastatic, NOS	NA	NA	NA	NA	NA	NA	NA
8141/3	Preferred	Scirrhous adenocarcinoma	NA	[obs]	NA	NA	NA	NA	NA
8141/3	Synonym	Carcinoma with productive fibrosis	NA	[obs]	NA	NA	NA	NA	NA
8141/3	Synonym	Scirrhous carcinoma	NA	[obs]	NA	NA	NA	NA	NA
8142/3	Preferred	Linitis plastica	(C16._)	NA	NA	NA	NA	NA	NA
