file	purpose	target_file	doid_limited	related_to	returns	notes
DO-skos-w_obs.rq	Return a count of xrefs on non-obsolete classes (all xrefs)	doid.owl	TRUE		?id ?label ?obsolete ?skos_type ?skos_ref	
DO-subClass_axiom-count.rq	Return detailed subClassOf Axioms		??		?id ?label ( COUNT(?parent) AS ?axiom_n ) ( COUNT( DISTINCT(?parent) ) AS ?axiom_ndistinct )	
DO-subClass_axiom-tidy.rq	Return detailed subClassOf Axioms		??		"?id ?label ( CONCAT( ?group, GROUP_CONCAT(?member) ) AS ?subClassOf )"	
DO-subClass_axiom.rq	Return detailed subClassOf Axioms		??		?id ?label ?parent ?type ?group_type ?group_member ?member_type ?mr_prop ?mr_target ?mc_group_type ?pr_onProp ?pr_some ?pr_some_group ?pr_some_member ?pr_onClass ?pr_onClass_group ?pr_onClass_member	
DO-subClass_test.rq	Return a count of logical definitions		??		?id ?label ?subClassOf ?prop ?val ?someSubj ?someSubj ?incomingChildProp ?child ?childProp ?childPropVal # ?onProperty ?onProp_label ?some ?some_label ?some_type #?value ?obj	
DO-synonym_dup.rq	Return a list of all non-obsolete synonyms with metadata	doid.owl	TRUE		?id ?label ?syn_type ?synonym	
DO-synonym-w_dep.rq	Return a list of all non-obsolete synonyms with metadata	doid.owl	TRUE		?id ?label ?deprecated ?syn_type ?synonym	
DO-xref-SNOMED.rq			??		?id ?label ?snomed_id	
DO-xref-w_obs.rq	"Return a count of all xrefs, marking obsolete classes (all xrefs)"		TRUE		?id ?label ?obsolete ?xref	
DO-xref.rq	Return a list of all non-obsolete xrefs		TRUE		?id ?label ?xref	
EQ_apparent_relationships.rq	"Find EQ axioms in HP (as example) that create """"apparent relationships"""" in Protege's asserted view."				?class ?label ?EQ_parent_class	
EQ_in_DO.rq	Return DO classes that have an equivalent statement					
establish_infectious_disease_subset.ru	Add children of 'disease by infectious agent' to DO_infectious_disease_slim		??		INSERT { ?class oboInOwl:inSubset doid:DO_infectious_disease_slim . }	
glue-class_details.rq	Return a list of all non-obsolete class IDs and labels				?class ?id ?label ?deprecated ?def ?xref	
hasDbXref.rq	Return a list of all non-obsolete class IDs and labels				?subj ?pred ?obj	
id_label_synonym.rq	Return a list of all non-obsolete synonyms with metadata				?id ?label ?syn_type ?synonym	
import-by_root_specified-report.rq	Return a count of each import by root (manually specified)	doid-merged.owl			?import_root ?namespace (COUNT(?class) AS ?count)	"- Class counts are NOT unique (e.g. CHEBI duplicates in DISDRIV & chebi| are both counted).
- Exact count duplicates may appear for roots with >1 rdfs:label
- Equivalent to import-by_root_auto-report.rq, except for ORDER
- ~ 13s execution"
import-by_root-report.rq	Return a count of each import by root (auto-identified)	doid-merged.owl	TRUE		?import_root ?namespace (COUNT(DISTINCT ?class) as ?count)	"- Class counts are unique within an import branch but NOT a full namespace (e.g. CHEBI duplicates in DISDRIV & chebi are counted in each.
- Exact count duplicates may appear for roots with >1 rdfs:label"
import-chebi_root_overlap-report.rq	Return terms imported in both DISDRIV & CHEBI				?class ?label	
import-corrected-report.rq	"Return a count of each import -- fix to original, limited import-report"				DISTINCT (COUNT(?chebiClass) as ?chebi) (COUNT(?clClass) as ?cl) (COUNT(?hpClass) as ?hp) (COUNT(?soClass) as ?so) (COUNT(?ncbiClass) as ?ncbi) (COUNT(?sympClass) as ?symp) (COUNT(?transClass) as ?trans) (COUNT(?foodonClass) as ?foodon) (COUNT(?uberonClass) as ?uberon)	
import-disdriv_special-report.rq	"Return a count of each import by ORIGINAL namespace, unless in DISDRIV"	doid-merged.owl	TRUE		?import ?namespace (COUNT(DISTINCT(?class)) as ?count)	"- DISDRIV is handled separately --> classes in DISDRIV and another import  are de-duplicated (counted ONLY in DISDRIV).
- Builds on import-report.rq by splitting out DISDRIV
- ~ 6s execution"
import-report.rq	Return a count of each import by ORIGINAL namespace	doid-merged.owl	TRUE		?import (COUNT(DISTINCT(?class)) as ?count)	"- Ignores import roots --> classes are not duplicated in counts
- ~ 2s execution"
logical_definitions.rq	Return a count of logical definitions		??		(COUNT(?parent) as ?subClassOf) (COUNT(?eq) as ?equivalent)	
properties_prefix-report.rq	Return a count of all properties by ORIGINAL namespace				?namespace ?prop_type (COUNT(?prop) AS ?count) ?namespace_full	
properties-report.rq	Return a count of each import by ORIGINAL namespace				?type ?import (COUNT(?prop) AS ?count)	
properties.rq	Return a count of each import by ORIGINAL namespace				DISTINCT ?type ?ns ?prop ?label	
pubmed_def_src_url.rq					?id ?pubmed_src	
remove_dup_labels.ru					DELETE { ?s rdfs:label ?label2 }	
website_release/website-imports.rq	Return a count of each import by root (auto-identified)	doid-merged.owl	TRUE		?import_root (COUNT(DISTINCT ?class) as ?count)	"Class counts are unique within an import branch but will be counted multiple times if in more than one import (example: when created, this query|counted duplicate CHEBI terms in DISDRIV & chebi because they were imported by each)."
current_reports/branch-count.rq	Return a count of all classes in each disease branch	"doid-non-classified.owl, doid.owl"	TRUE		?branch (COUNT(?class) AS ?count)	DNC = asserted in branch only; DOID = asserted + inferred in branch
